Date,Time,Lat,Lon,Wind (knots),Pressure
20210924,600, 31.4N,  62.0W,30,1011
20210924,1200, 32.8N,  62.9W,35,1010
20210924,1800, 33.6N,  64.1W,40,1008
20210925,0, 34.1N,  65.0W,40,1008
20210925,600, 34.3N,  65.5W,35,1009
20210925,1200, 34.3N,  65.2W,30,1010
20210925,1800, 34.3N,  64.5W,30,1010
20210926,0, 34.7N,  63.9W,30,1010
20210926,600, 35.2N,  63.2W,30,1010
20210926,1200, 35.6N,  61.8W,25,1011
